Energy(eV)	cross section (m-2)					
	(1) E + AR > E + AR	(2)  E + AR > AR* + E	(3) E + AR > AR* + E	(4) E + AR > AR^ + E + E	(5) E + AR* > AR^ + E + E	(6)  E + AR* > AR + E
8.200000E-04	9.549010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.429690E-21
8.300000E-04	9.543510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.413960E-21
8.400000E-04	9.538010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.398700E-21
8.500000E-04	9.532510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.383300E-21
8.600000E-04	9.527010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.368370E-21
8.700000E-04	9.521510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.353300E-21
8.800000E-04	9.516010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.338690E-21
8.900000E-04	9.510510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.323940E-21
9.000000E-04	9.505010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.309630E-21
9.100000E-04	9.499510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.295190E-21
9.200000E-04	9.494010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.281180E-21
9.300000E-04	9.488510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.267030E-21
9.400000E-04	9.483010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.253320E-21
9.500000E-04	9.477510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.239460E-21
9.600000E-04	9.472010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.226020E-21
9.700000E-04	9.466510E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.212440E-21
9.800000E-04	9.461010E-20	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.199270E-21
